Data,Hora,Tipus,Lloc,Competició,Esport,Partit,Qui juga,Nota
14/08/2026,18:00-20:00,Acte,Club de Begues,,,,,REUNIÓ INFORMATIVA
15/08/2026,09:00-14:00,,Club de Begues,,Natació,Tot,,INAUGURACIÓ + NATACIÓ
15/08/2026,15:00-00:00,,Club de Begues,,Voleibol platja,Tot,,
15/08/2026,15:00-00:00,,Club de Begues,,Ping-pong,Tot,,
15/08/2026,20:00-01:00,Acte,Altres,,,,,TARDEO
16/08/2026,10:00-20:00,,Club de Begues,,Ping-pong,Tot,,
16/08/2026,10:00-20:00,,Club de Begues,,Voleibol platja,Tot,,
16/08/2026,10:00-16:00,,Club de Begues,,Minigolf,Tot,,
16/08/2026,16:00-19:00,,Club de Begues,,Escacs,Tot,,
16/08/2026,19:00-20:00,,Camp de futbol,Femení,Futbol 7,"F1-F2, F4-F5","F1-F2: Las potras salvajes - Tocapelotas
F4-F5: Birra sana - Dynamos",
16/08/2026,20:00-21:00,,Camp de futbol,Masculí,Futbol 7,"Prèvia 1, Prèvia 2","P1: Equip 5 - Equip 4
P2: Equip 7 - Equip 9",
16/08/2026,21:00-22:00,,Poliesportiu,Femení,Bàsquet,"F1-F2, F4-F5","F1-F2: Las potras salvajes - Tocapelotas
F4-F5: Birra sana - Dynamos",
16/08/2026,22:00-23:00,,Poliesportiu,Masculí,Bàsquet,"Prèvia 1, Prèvia 2","P1: Equip 6 - Equip 5
P2: Equip 4 - Equip 10",
17/08/2026,18:00-19:00,,Poliesportiu,Masculí,Handbol,Prèvia 1,Equip 8 - Equip 5,
17/08/2026,19:00-20:00,,Poliesportiu,Masculí,Handbol,Prèvia 2,Equip 3 - Equip 1,
17/08/2026,19:00-20:00,,Altres,Femení,Futbol 7,"F2-F5, F3-F4","F2-F5: Tocapelotas - Dynamos
F3-F4: Motomamis - Birra sana",
17/08/2026,20:00-21:00,,Altres,Masculí,Futbol 7,"Quarts 1, Quarts 2","QF1: Guanyador P1 - Equip 10
QF2: Equip 6 - Equip 1",
17/08/2026,21:00-22:00,,Poliesportiu,Femení,Handbol,F1-F2,Las potras salvajes - Tocapelotas,
17/08/2026,21:00-22:00,,Altres,Masculí,Futbol 7,"Quarts 3, Quarts 4","QF3: Guanyador P2 - Equip 2
QF4: Equip 8 - Equip 3",
17/08/2026,22:00-23:00,,Poliesportiu,Femení,Handbol,F4-F5,Birra sana - Dynamos,
17/08/2026,22:00-23:00,,Altres,Masculí,Futbol 7,9è i 10è lloc,,
17/08/2026,,Límit,,Masculí,"Petanca, Dòmino, Tennis, Frontó, Pàdel, Billar","Prèvia 1, Prèvia 2",,LIMIT PREVIA
18/08/2026,18:00-19:00,,Poliesportiu,Masculí,Handbol,Quarts 1,Guanyador P1 - Equip 6,
18/08/2026,19:00-20:00,,Poliesportiu,Masculí,Handbol,Quarts 2,Equip 4 - Equip 2,
18/08/2026,19:00-20:00,,Altres,Femení,Futbol 7,"F1-F5, F2-F3","F1-F5: Las potras salvajes - Dynamos
F2-F3: Tocapelotas - Motomamis",
18/08/2026,20:00-21:00,,Poliesportiu,Masculí,Handbol,Quarts 3,Guanyador P2 - Equip 7,
18/08/2026,21:00-22:00,,Poliesportiu,Masculí,Handbol,Quarts 4,Equip 10 - Equip 9,
18/08/2026,22:00-23:00,,Poliesportiu,Femení,Handbol,F2-F5,Tocapelotas - Dynamos,
18/08/2026,22:00-23:00,,Altres,Masculí,Futbol 7,"Semifinal consolació 1, Semifinal consolació 2",,
18/08/2026,23:00-00:00,,Poliesportiu,Femení,Handbol,F3-F4,Motomamis - Birra sana,
18/08/2026,23:00-00:00,,Altres,Masculí,Futbol 7,"Semifinal 1, Semifinal 2",,
19/08/2026,18:00-19:00,,Poliesportiu,Masculí,Handbol,Semifinal consolació 1,,
19/08/2026,19:00-20:00,,Poliesportiu,Masculí,Handbol,Semifinal consolació 2,,
19/08/2026,19:00-20:00,,Altres,Femení,Futbol 7,"F1-F4, F5-F3","F1-F4: Las potras salvajes - Birra sana
F5-F3: Dynamos - Motomamis",
19/08/2026,20:00-21:00,,Poliesportiu,Femení,Handbol,F1-F5,Las potras salvajes - Dynamos,
19/08/2026,20:00-21:00,,Altres,Masculí,Futbol 7,"7è i 8è lloc, 3r i 4t lloc",,
19/08/2026,21:00-22:00,,Poliesportiu,Femení,Handbol,F2-F3,Tocapelotas - Motomamis,
19/08/2026,21:00-22:00,,Altres,Masculí,Futbol 7,"Final consolació · 5è i 6è lloc, Final",,
