Esport,Jornada,Partit,Qui juga,Guanyador,Marcador
Petanca,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Petanca,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Petanca,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Petanca,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Petanca,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Petanca,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Petanca,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Petanca,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Petanca,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Petanca,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Voleibol platja,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Voleibol platja,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Voleibol platja,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Voleibol platja,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Voleibol platja,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Voleibol platja,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Voleibol platja,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Voleibol platja,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Voleibol platja,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Voleibol platja,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Voleibol pista,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Voleibol pista,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Voleibol pista,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Voleibol pista,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Voleibol pista,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Voleibol pista,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Voleibol pista,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Voleibol pista,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Voleibol pista,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Voleibol pista,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Tennis,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Tennis,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Tennis,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Tennis,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Tennis,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Tennis,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Tennis,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Tennis,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Tennis,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Tennis,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Frontó,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Frontó,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Frontó,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Frontó,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Frontó,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Frontó,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Frontó,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Frontó,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Frontó,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Frontó,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Pàdel,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Pàdel,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Pàdel,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Pàdel,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Pàdel,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Pàdel,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Pàdel,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Pàdel,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Pàdel,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Pàdel,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Ping-pong,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Ping-pong,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Ping-pong,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Ping-pong,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Ping-pong,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Ping-pong,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Ping-pong,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Ping-pong,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Ping-pong,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Ping-pong,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Futbol sala,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Futbol sala,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Futbol sala,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Futbol sala,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Futbol sala,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Futbol sala,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Futbol sala,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Futbol sala,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Futbol sala,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Futbol sala,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Futbol 7,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Futbol 7,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Futbol 7,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Futbol 7,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Futbol 7,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Futbol 7,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Futbol 7,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Futbol 7,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Futbol 7,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Futbol 7,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Handbol,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Handbol,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Handbol,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Handbol,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Handbol,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Handbol,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Handbol,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Handbol,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Handbol,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Handbol,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Bàsquet,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Bàsquet,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Bàsquet,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Bàsquet,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Bàsquet,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Bàsquet,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Bàsquet,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Bàsquet,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Bàsquet,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Bàsquet,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Waterpolo,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Waterpolo,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Waterpolo,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Waterpolo,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Waterpolo,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Waterpolo,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Waterpolo,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Waterpolo,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Waterpolo,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Waterpolo,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Dòmino,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Dòmino,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Dòmino,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Dòmino,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Dòmino,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Dòmino,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Dòmino,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Dòmino,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Dòmino,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Dòmino,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Escacs,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Escacs,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Escacs,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Escacs,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Escacs,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Escacs,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Escacs,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Escacs,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Escacs,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Escacs,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Dards,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Dards,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Dards,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Dards,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Dards,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Dards,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Dards,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Dards,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Dards,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Dards,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Futbolí,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Futbolí,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Futbolí,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Futbolí,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Futbolí,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Futbolí,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Futbolí,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Futbolí,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Futbolí,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Futbolí,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Billar,J1,F1-F2,Equip femení 1 - Equip femení 2,,
Billar,J1,F4-F5,Equip femení 4 - Equip femení 5,,
Billar,J2,F2-F5,Equip femení 2 - Equip femení 5,,
Billar,J2,F3-F4,Equip femení 3 - Equip femení 4,,
Billar,J3,F1-F5,Equip femení 1 - Equip femení 5,,
Billar,J3,F2-F3,Equip femení 2 - Equip femení 3,,
Billar,J4,F1-F4,Equip femení 1 - Equip femení 4,,
Billar,J4,F5-F3,Equip femení 5 - Equip femení 3,,
Billar,J5,F1-F3,Equip femení 1 - Equip femení 3,,
Billar,J5,F4-F2,Equip femení 4 - Equip femení 2,,
Ciclisme,,Lloc 1,,,
Ciclisme,,Lloc 2,,,
Ciclisme,,Lloc 3,,,
Ciclisme,,Lloc 4,,,
Ciclisme,,Lloc 5,,,
Atletisme,,Lloc 1,,,
Atletisme,,Lloc 2,,,
Atletisme,,Lloc 3,,,
Atletisme,,Lloc 4,,,
Atletisme,,Lloc 5,,,
Natació,,Lloc 1,,,
Natació,,Lloc 2,,,
Natació,,Lloc 3,,,
Natació,,Lloc 4,,,
Natació,,Lloc 5,,,
