Esport,Partit,Guanyador,Marcador
Petanca,Prèvia 1,,
Petanca,Prèvia 2,,
Petanca,Quarts 1,,
Petanca,Quarts 2,,
Petanca,Quarts 3,,
Petanca,Quarts 4,,
Petanca,Semifinal 1,,
Petanca,Semifinal 2,,
Petanca,Final,,
Petanca,3r i 4t lloc,,
Petanca,Semifinal consolació 1,,
Petanca,Semifinal consolació 2,,
Petanca,Final consolació · 5è i 6è lloc,,
Petanca,7è i 8è lloc,,
Petanca,9è i 10è lloc,,
Voleibol platja,Prèvia 1,,
Voleibol platja,Prèvia 2,,
Voleibol platja,Quarts 1,,
Voleibol platja,Quarts 2,,
Voleibol platja,Quarts 3,,
Voleibol platja,Quarts 4,,
Voleibol platja,Semifinal 1,,
Voleibol platja,Semifinal 2,,
Voleibol platja,Final,,
Voleibol platja,3r i 4t lloc,,
Voleibol platja,Semifinal consolació 1,,
Voleibol platja,Semifinal consolació 2,,
Voleibol platja,Final consolació · 5è i 6è lloc,,
Voleibol platja,7è i 8è lloc,,
Voleibol platja,9è i 10è lloc,,
Voleibol pista,Prèvia 1,,
Voleibol pista,Prèvia 2,,
Voleibol pista,Quarts 1,,
Voleibol pista,Quarts 2,,
Voleibol pista,Quarts 3,,
Voleibol pista,Quarts 4,,
Voleibol pista,Semifinal 1,,
Voleibol pista,Semifinal 2,,
Voleibol pista,Final,,
Voleibol pista,3r i 4t lloc,,
Voleibol pista,Semifinal consolació 1,,
Voleibol pista,Semifinal consolació 2,,
Voleibol pista,Final consolació · 5è i 6è lloc,,
Voleibol pista,7è i 8è lloc,,
Voleibol pista,9è i 10è lloc,,
Tennis,Prèvia 1,,
Tennis,Prèvia 2,,
Tennis,Quarts 1,,
Tennis,Quarts 2,,
Tennis,Quarts 3,,
Tennis,Quarts 4,,
Tennis,Semifinal 1,,
Tennis,Semifinal 2,,
Tennis,Final,,
Tennis,3r i 4t lloc,,
Tennis,Semifinal consolació 1,,
Tennis,Semifinal consolació 2,,
Tennis,Final consolació · 5è i 6è lloc,,
Tennis,7è i 8è lloc,,
Tennis,9è i 10è lloc,,
Frontó,Prèvia 1,,
Frontó,Prèvia 2,,
Frontó,Quarts 1,,
Frontó,Quarts 2,,
Frontó,Quarts 3,,
Frontó,Quarts 4,,
Frontó,Semifinal 1,,
Frontó,Semifinal 2,,
Frontó,Final,,
Frontó,3r i 4t lloc,,
Frontó,Semifinal consolació 1,,
Frontó,Semifinal consolació 2,,
Frontó,Final consolació · 5è i 6è lloc,,
Frontó,7è i 8è lloc,,
Frontó,9è i 10è lloc,,
Pàdel,Prèvia 1,,
Pàdel,Prèvia 2,,
Pàdel,Quarts 1,,
Pàdel,Quarts 2,,
Pàdel,Quarts 3,,
Pàdel,Quarts 4,,
Pàdel,Semifinal 1,,
Pàdel,Semifinal 2,,
Pàdel,Final,,
Pàdel,3r i 4t lloc,,
Pàdel,Semifinal consolació 1,,
Pàdel,Semifinal consolació 2,,
Pàdel,Final consolació · 5è i 6è lloc,,
Pàdel,7è i 8è lloc,,
Pàdel,9è i 10è lloc,,
Ping-pong,Prèvia 1,,
Ping-pong,Prèvia 2,,
Ping-pong,Quarts 1,,
Ping-pong,Quarts 2,,
Ping-pong,Quarts 3,,
Ping-pong,Quarts 4,,
Ping-pong,Semifinal 1,,
Ping-pong,Semifinal 2,,
Ping-pong,Final,,
Ping-pong,3r i 4t lloc,,
Ping-pong,Semifinal consolació 1,,
Ping-pong,Semifinal consolació 2,,
Ping-pong,Final consolació · 5è i 6è lloc,,
Ping-pong,7è i 8è lloc,,
Ping-pong,9è i 10è lloc,,
Futbol sala,Prèvia 1,,
Futbol sala,Prèvia 2,,
Futbol sala,Quarts 1,,
Futbol sala,Quarts 2,,
Futbol sala,Quarts 3,,
Futbol sala,Quarts 4,,
Futbol sala,Semifinal 1,,
Futbol sala,Semifinal 2,,
Futbol sala,Final,,
Futbol sala,3r i 4t lloc,,
Futbol sala,Semifinal consolació 1,,
Futbol sala,Semifinal consolació 2,,
Futbol sala,Final consolació · 5è i 6è lloc,,
Futbol sala,7è i 8è lloc,,
Futbol sala,9è i 10è lloc,,
Futbol 7,Prèvia 1,,
Futbol 7,Prèvia 2,,
Futbol 7,Quarts 1,,
Futbol 7,Quarts 2,,
Futbol 7,Quarts 3,,
Futbol 7,Quarts 4,,
Futbol 7,Semifinal 1,,
Futbol 7,Semifinal 2,,
Futbol 7,Final,,
Futbol 7,3r i 4t lloc,,
Futbol 7,Semifinal consolació 1,,
Futbol 7,Semifinal consolació 2,,
Futbol 7,Final consolació · 5è i 6è lloc,,
Futbol 7,7è i 8è lloc,,
Futbol 7,9è i 10è lloc,,
Handbol,Prèvia 1,,
Handbol,Prèvia 2,,
Handbol,Quarts 1,,
Handbol,Quarts 2,,
Handbol,Quarts 3,,
Handbol,Quarts 4,,
Handbol,Semifinal 1,,
Handbol,Semifinal 2,,
Handbol,Final,,
Handbol,3r i 4t lloc,,
Handbol,Semifinal consolació 1,,
Handbol,Semifinal consolació 2,,
Handbol,Final consolació · 5è i 6è lloc,,
Handbol,7è i 8è lloc,,
Handbol,9è i 10è lloc,,
Bàsquet,Prèvia 1,,
Bàsquet,Prèvia 2,,
Bàsquet,Quarts 1,,
Bàsquet,Quarts 2,,
Bàsquet,Quarts 3,,
Bàsquet,Quarts 4,,
Bàsquet,Semifinal 1,,
Bàsquet,Semifinal 2,,
Bàsquet,Final,,
Bàsquet,3r i 4t lloc,,
Bàsquet,Semifinal consolació 1,,
Bàsquet,Semifinal consolació 2,,
Bàsquet,Final consolació · 5è i 6è lloc,,
Bàsquet,7è i 8è lloc,,
Bàsquet,9è i 10è lloc,,
Waterpolo,Prèvia 1,,
Waterpolo,Prèvia 2,,
Waterpolo,Quarts 1,,
Waterpolo,Quarts 2,,
Waterpolo,Quarts 3,,
Waterpolo,Quarts 4,,
Waterpolo,Semifinal 1,,
Waterpolo,Semifinal 2,,
Waterpolo,Final,,
Waterpolo,3r i 4t lloc,,
Waterpolo,Semifinal consolació 1,,
Waterpolo,Semifinal consolació 2,,
Waterpolo,Final consolació · 5è i 6è lloc,,
Waterpolo,7è i 8è lloc,,
Waterpolo,9è i 10è lloc,,
Dòmino,Prèvia 1,,
Dòmino,Prèvia 2,,
Dòmino,Quarts 1,,
Dòmino,Quarts 2,,
Dòmino,Quarts 3,,
Dòmino,Quarts 4,,
Dòmino,Semifinal 1,,
Dòmino,Semifinal 2,,
Dòmino,Final,,
Dòmino,3r i 4t lloc,,
Dòmino,Semifinal consolació 1,,
Dòmino,Semifinal consolació 2,,
Dòmino,Final consolació · 5è i 6è lloc,,
Dòmino,7è i 8è lloc,,
Dòmino,9è i 10è lloc,,
Escacs,Prèvia 1,,
Escacs,Prèvia 2,,
Escacs,Quarts 1,,
Escacs,Quarts 2,,
Escacs,Quarts 3,,
Escacs,Quarts 4,,
Escacs,Semifinal 1,,
Escacs,Semifinal 2,,
Escacs,Final,,
Escacs,3r i 4t lloc,,
Escacs,Semifinal consolació 1,,
Escacs,Semifinal consolació 2,,
Escacs,Final consolació · 5è i 6è lloc,,
Escacs,7è i 8è lloc,,
Escacs,9è i 10è lloc,,
Dards,Prèvia 1,,
Dards,Prèvia 2,,
Dards,Quarts 1,,
Dards,Quarts 2,,
Dards,Quarts 3,,
Dards,Quarts 4,,
Dards,Semifinal 1,,
Dards,Semifinal 2,,
Dards,Final,,
Dards,3r i 4t lloc,,
Dards,Semifinal consolació 1,,
Dards,Semifinal consolació 2,,
Dards,Final consolació · 5è i 6è lloc,,
Dards,7è i 8è lloc,,
Dards,9è i 10è lloc,,
Futbolí,Prèvia 1,,
Futbolí,Prèvia 2,,
Futbolí,Quarts 1,,
Futbolí,Quarts 2,,
Futbolí,Quarts 3,,
Futbolí,Quarts 4,,
